a: as
athyriaceae: athyriaceaes
athyrium: athyriums
atlanta: atlantas
atlantic: atlantics
atlantides: atlantideses
atlantis: atlantes
atlas: atlases
atrichornis: atrichornises
atrichornithidae: atrichornithidaes
atriplex: atriplexes
atropa: atropas
atropidae: atropidaes
atropos: atroposes
atrovent: atrovents
atsugewi: atsugewis
attacapa: attacapas
attacapan: attacapans
attalea: attaleas
attic: attics
attica: atticas
atticus: atticuses
attila: attilas
auden: audens
aug: augs
august: augusts
augusta: augustas
augustine: augustines
augustinian: augustinians
augustus: augustuses
aukland: auklands
aulacorhyncus: aulacorhyncuses
aulostomidae: aulostomidaes
aulostomus: aulostomuses
aureolaria: aureolarias
aureomycin: aureomycins
auricularia: auricularias
auriculariaceae: auriculariaceaes
auriculariales: auricularialeses
auriga: aurigas
auriparus: auriparuses
aurora: auroras
aussie: aussies
austerlitz: austerlitzes
austin: austins
australasia: australasias
australia: australias
australian: australians
australopithecus: australopithecuses
austria: austrias
austrian: austrians
austrocedrus: austrocedruses
austronesia: austronesias
austronesian: austronesians
austrotaxus: austrotaxuses
automeris: automerises
auvergne: auvergnes
av: avs
avahi: avahis
avalokiteshvara: avalokiteshvaras
avalokitesvara: avalokitesvaras
avena: avenas
averrhoa: averrhoas
avesta: avestas
avestan: avestans
avicennia: avicennias
avicenniaceae: avicenniaceaes
ayr: ayrs
ayrshire: ayrshires
aythya: aythyas
azactam: azactams
azadirachta: azadirachtas
azaleastrum: azaleastrums
azerbaijan: azerbaijans
azerbaijani: azerbaijanis
azerbajdzhan: azerbajdzhans
azolla: azollas
azollaceae: azollaceaes
azores: azoreses
aztec: aztecs
aztecan: aztecans
b: bs
ba: bas
ban: bani
basic: basics
bb: bbs
bc: bcs
bd: bds
bin: bins
blt: blts
blitt: blitts
bm: bms
bmr: bmrs
bmus: bmuses
bns: bnses
bs: bses
bsarch: bsarches
bw: bws
bwr: bwrs
baal: baals
babar: babars
babel: babels
babesiidae: babesiidaes
babinski: babinskis
babylon: babylons
babylonia: babylonias
babylonian: babylonians
babyrousa: babyrousas
bacchanalia: bacchanalia
baccharis: baccharises
bacchus: bacchuses
bach: baches
bacillaceae: bacillaceaes
bacillariophyceae: bacillariophyceaes
bacon: bacons
bacteroidaceae: bacteroidaceaes
bacteroides: bacteroideses
badaga: badagas
bade: bades
badlands: badlandses
baedeker: baedekers
bagdad: bagdads
baghdad: baghdads
bahamas: bahamases
bahamian: bahamians
bahasa: bahasas
bahrain: bahrains
bahraini: bahrainis
bahrein: bahreins
bahreini: bahreinis
bai: bais
baic: baics
baiomys: baiomyses
bairava: bairavas
bairdiella: bairdiellas
baisakh: baisakhs
bakelite: bakelites
baku: bakus
balaena: balaenas
balaeniceps: balaenicepses
balaenicipitidae: balaenicipitidaes
balaenidae: balaenidaes
balaenoptera: balaenopteras
balaenopteridae: balaenopteridaes
balanidae: balanidaes
balanus: balanuses
balarama: balaramas
balder: balders
baldr: baldrs
baldwin: baldwins
bale: bales
bali: balis
balinese: balineses
balistes: balisteses
balistidae: balistidaes
ballota: ballotas
balmoral: balmorals
balochi: balochis
balsaminaceae: balsaminaceaes
balsamorhiza: balsamorhizas
baltic: baltics
baltimore: baltimores
baluchi: baluchis
balzac: balzacs
bamako: bamakoes
bambusa: bambusas
bambuseae: bambuseaes
bandung: bandungs
banff: banffs
bangiaceae: bangiaceaes
bangkok: bangkoks
bangladesh: bangladeshes
bangladeshi: bangladeshis
bangui: banguis
bankia: bankias
bannockburn: bannockburns
bantu: bantus
baphia: baphias
baptisia: baptisias
baptist: baptists
barbadian: barbadians
barbados: barbadoses
barbarea: barbareas
barbarossa: barbarossas
barbary: barbaries
barbuda: barbudas
barcelona: barcelonas
bari: baris
barish: barishes
barrie: barries
bartramia: bartramias
basel: basels
basidiomycetes: basidiomyceteses
basidiomycota: basidiomycotas
basidiomycotina: basidiomycotinas
basilicata: basilicatas
basiliscus: basiliscuses
basle: basles
basotho: basothos
basque: basques
bassariscidae: bassariscidaes
bassariscus: bassariscuses
basseterre: basseterres
bassia: bassias
bast: basts
basuto: basutos
basutoland: basutolands
bata: batas
bataan: bataans
bathurst: bathursts
bathyergidae: bathyergidaes
bathyergus: bathyerguses
batidaceae: batidaceaes
batis: batises
batoidei: batoideis
batrachia: batrachias
batrachoididae: batrachoididaes
batrachoseps: batrachosepses
batswana: batswanas
baudelaire: baudelaires
bauhaus: bauhauses
bauhinia: bauhinias
bavaria: bavarias
bayer: bayers
bayonne: bayonnes
be: bes
beantown: beantowns
beatitude: beatitudes
beatrice: beatrices
beaujolais: beaujolaises
beaumontia: beaumontias
bechuana: bechuanas
becket: beckets
beckett: becketts
beckley: beckleys
bedlam: bedlams
bedouin: bedouins
beduin: beduins
beelzebub: beelzebubs
beethoven: beethovens
begoniaceae: begoniaceaes
behmen: behmens
behmenism: behmenisms
beijing: beijings
beirut: beiruts
bel: bels
belamcanda: belamcandas
belarus: belaruses
belarusian: belarusians
belemnitidae: belemnitidaes
belemnoidea: belemnoideas
belfast: belfasts
belgian: belgians
belgique: belgiques
belgium: belgiums
belgrade: belgrades
belize: belizes
bell: bells
bellerophon: bellerophons
bellis: bellises
belonidae: belonidaes
belorussia: belorussias
belorussian: belorussians
belostomatidae: belostomatidaes
belshazzar: belshazzars
bemisia: bemisias
bench: benches
benedict: benedicts
benedictine: benedictines
benelux: beneluxes
bengal: bengals
bengali: bengalis
benghazi: benghazis
benin: benins
beninese: benineses
bennettitaceae: bennettitaceaes
bennettitales: bennettitaleses
bennettitis: bennettitises
bennington: benningtons
benzedrine: benzedrines
benzoin: benzoins
beograd: beograds
berber: berbers
berberidaceae: berberidaceaes
berberis: berberises
bercy: bercies
bergen: bergens
berith: beriths
berkeley: berkeleys
berkshire: berkshires
berlin: berlins
berliner: berliners
bermuda: bermudas
bermudan: bermudans
bermudian: bermudians
bern: berns
berne: bernes
berteroa: berteroas
bertholletia: bertholletias
berycomorphi: berycomorphis
bessera: besseras
besseya: besseyas
beta: betas
betelgeuse: betelgeuses
bethelem: bethelems
bettongia: bettongias
betula: betulas
betulaceae: betulaceaes
bhadon: bhadons
bhaga: bhagas
bharat: bharats
bhutan: bhutans
bhutanese: bhutaneses
bhutani: bhutanis
bi: bis
bible: bibles
bibos: biboses
bida: bidas
bidens: bidenses
bigfoot: bigfoots
bighorn: bighorns
bignonia: bignonias
bignoniaceae: bignoniaceaes
bihar: bihars
bihari: biharis
billings: billingses
biloxi: biloxis
binghamton: binghamtons
bioko: biokoes
birmingham: birminghams
biro: biros
bisayan: bisayans
bisayas: bisayases
biscutella: biscutellas
biskek: biskeks
bismarck: bismarcks
bissau: bissaus
bitis: bitises
bivalvia: bivalvias
bk: bks
blaberus: blaberuses
black: blacks
blackbeard: blackbeards
blackburn: blackburns
blackfoot: blackfeet
blackfriar: blackfriars
blackpool: blackpools
blackshirt: blackshirts
blandfordia: blandfordias
blarina: blarinas
blastocladia: blastocladias
blastocladiales: blastocladialeses
blastodiaceae: blastodiaceaes
blastomyces: blastomyceses
blatta: blattas
blattaria: blattarias
blattella: blattellas
blattidae: blattidaes
blattodea: blattodeas
blechnaceae: blechnaceaes
blechnum: blechnums
blenheim: blenheims
blenniidae: blenniidaes
blennioidea: blennioideas
blennius: blenniuses
blephilia: blephilias
bletilla: bletillas
bligh: blighs
blighia: blighias
blighty: blighties
blimp: blimps
blissus: blissuses
bloemfontein: bloemfonteins
bloomeria: bloomerias
bluebeard: bluebeards
boann: boanns
boche: boches
boddhisatva: boddhisatvas
bodhisattva: bodhisattvas
bodoni: bodonis
boehm: boehms
boehme: boehmes
boehmenism: boehmenisms
boehmeria: boehmerias
boeotia: boeotias
boer: boers
bogart: bogarts
bogey: bogeys
bogota: bogotas
bohemian: bohemians
bohme: bohmes
boidae: boidaes
boise: boises
bokkos: bokkoses
bokmal: bokmals
bolanci: bolancis
bolbitis: bolbitises
bole: boles
boletaceae: boletaceaes
boletellus: boletelluses
boletus: boletuses
boleyn: boleyns
bolingbroke: bolingbrokes
bolivar: bolivars
bolivia: bolivias
bolivian: bolivians
bologna: bolognas
bolshevik: bolsheviks
boltonia: boltonias
bomarea: bomareas
bombacaceae: bombacaceaes
bombax: bombaxes
bombay: bombays
bombina: bombinas
bombus: bombuses
bombycidae: bombycidaes
bombycilla: bombycillas
bombycillidae: bombycillidaes
bombyliidae: bombyliidaes
bombyx: bombyxes
bonaire: bonaires
bonasa: bonasas
bonete: bonetes
bonn: bonns
boole: booles
boone: boones
bootes: booteses
boraginaceae: boraginaceaes
borago: boragoes
borassus: borassuses
bordeaux: bordeauxes
boreas: boreases
bornean: borneans
borneo: borneoes
borodino: borodinoes
borstal: borstals
bos: boses
boselaphus: boselaphuses
bosnia: bosnias
bosporus: bosporuses
boston: bostons
boswellia: boswellias
botaurus: botauruses
bothidae: bothidaes
bothrops: bothropses
botrychium: botrychiums
botswana: botswanas
bougainvillaea: bougainvillaeas
bougainville: bougainvilles
bourbon: bourbons
bourgogne: bourgognes
bourse: bourses
bouteloua: boutelouas
bouvines: bouvineses
bouyei: bouyeis
bovidae: bovidaes
bovinae: bovinaes
