maputo: maputoes
maquis: maquises
maraco: maracoes
marasmius: marasmiuses
marengo: marengoes
marrubium: marrubiums
masticophis: masticophises
mastigoproctus: mastigoproctuses
mauritius: mauritiuses
may: mays
mayday: maydays
mckinley: mckinleys
meconopsis: meconopsises
medicago: medicagoes
megalobatrachus: megalobatrachuses
megapodius: megapodiuses
megatherium: megatheriums
melampodium: melampodiums
melanogrammus: melanogrammuses
melanoplus: melanopluses
melanotis: melanotises
meleagris: meleagrises
melicoccus: melicoccuses
melocactus: melocactuses
melophagus: melophaguses
melopsittacus: melopsittacuses
melursus: melursuses
memphis: memphises
meniscium: menisciums
menispermum: menispermums
menticirrhus: menticirrhuses
menura: menurae
mephitis: mephitises
mercedario: mercedarioes
mercurialis: mercurialises
mergus: merguses
merlangus: merlanguses
merluccius: merlucciuses
mesembryanthemum: mesembryanthemums
mesocricetus: mesocricetuses
mespilus: mespiluses
mexico: mexicoes
michelangelo: michelangeloes
mickey: mickeys
microcentrum: microcentrums
micrococcus: micrococcuses
micropterus: micropteruses
microsorium: microsoriums
microsporum: microsporums
microstomus: microstomuses
microtus: microtuses
micrurus: micruruses
midway: midways
milano: milanoes
milvus: milvuses
mimus: mimuses
mindoro: mindoroes
minneapolis: minneapolises
mirabilis: mirabilises
mnium: mniums
mo: moes
mogadiscio: mogadiscioes
molech: molechs
moloch: molochs
molothrus: molothruses
momotus: momotuses
momus: momuses
monaco: monacoes
monario: monarioes
monday: mondays
monocanthus: monocanthuses
monochamus: monochamuses
monomorium: monomoriums
monsieur: messieurs
montenegro: montenegroes
montevideo: montevideoes
morpheus: morpheuses
morus: moruses
moschus: moschuses
mulatto: mulattoes
mullus: mulluses
muntiacus: muntiacuses
murray: murrays
mus: muses
muscardinus: muscardinuses
mustelus: musteluses
mutinus: mutinuses
myopus: myopuses
myosotis: myosotises
myotis: myotises
myriophyllum: myriophyllums
myrmecobius: myrmecobiuses
myrrhis: myrrhises
myrtillocactus: myrtillocactuses
myrtus: myrtuses
mytilus: mytiluses
myxocephalus: myxocephaluses
nabalus: nabaluses
nacimiento: nacimientoes
naemorhedus: naemorheduses
narcissus: narcissus
narthecium: nartheciums
nasalis: nasalises
nasturtium: nasturtiums
navaho: navahoes
navajo: navajoes
navarino: navarinoes
nebo: neboes
necturus: necturuses
negro: negroes
nelumbo: nelumboes
neoceratodus: neoceratoduses
neohygrophorus: neohygrophoruses
neolentinus: neolentinuses
neosho: neoshoes
nephelium: nepheliums
nephrolepis: nephrolepises
nereus: nereuses
nerium: neriums
nerthus: nerthuses
neurotrichus: neurotrichuses
nevis: nevises
niamey: niameys
nigroporus: nigroporuses
nimravus: nimravuses
nintoo: nintooes
no: noes
norman: normans
norway: norways
notechis: notechises
